Ticker,Year,Dividend_per_share
AB,2017,2.000
AB,2018,1.200
AB,2019,2.200
AB,2022,3.150
AB,2023,4.000
AB,2024,4.500
AIR,2017,3.700
AIR,2018,4.100
AIR,2019,4.500
AIR,2021,4.500
AIR,2022,5.500
AIR,2023,5.500
AIR,2024,6.300
AMEN,2017,1.150
AMEN,2018,1.250
AMEN,2019,1.350
AMEN,2021,2.150
AMEN,2022,1.450
AMEN,2023,2.047
AMEN,2024,3.220
AMI,2021,1.870
AMI,2022,2.210
AMI,2023,2.340
AMI,2024,3.100
AMV,2021,1.380
AMV,2022,1.890
AMV,2023,0.291
AMV,2024,0.321
ARTES,2017,0.520
ARTES,2018,0.615
ARTES,2019,0.530
ARTES,2020,0.287
ARTES,2021,0.800
ARTES,2022,0.800
ARTES,2023,1.000
ARTES,2024,0.500
ASTREE,2017,2.200
ASTREE,2018,1.600
ASTREE,2019,1.800
ASTREE,2020,6.000
ASTREE,2021,2.800
ASTREE,2022,2.800
ASTREE,2023,2.000
ASTREE,2024,2.200
ATL,2017,0.240
ATL,2018,0.250
ATL,2019,0.200
ATL,2021,0.075
ATL,2022,0.200
ATL,2023,0.270
ATL,2024,0.300
ATTL,2017,1.400
ATTL,2018,1.200
ATTL,2019,1.200
ATTL,2021,0.500
ATTL,2022,1.200
ATTL,2023,1.500
ATTL,2024,1.500
BH,2017,0.300
BH,2018,0.600
BH,2019,0.600
BH,2021,0.600
BH,2022,0.950
BH,2023,0.900
BH,2024,1.100
BHASS,2018,1.000
BHASS,2020,1.000
BHASS,2021,1.000
BHASS,2022,1.100
BHASS,2023,1.250
BHASS,2024,1.500
BIAT,2017,4.000
BIAT,2018,4.250
BIAT,2019,5.000
BIAT,2021,5.000
BIAT,2022,5.200
BIAT,2023,5.800
BIAT,2024,6.000
BNA,2021,0.500
BNA,2022,0.800
BNA,2023,0.800
BNA,2024,0.900
BESTL,2017,0.110
BESTL,2018,0.120
BESTL,2019,0.120
BESTL,2021,0.110
BESTL,2022,0.116
BESTL,2023,0.130
BESTL,2024,0.140
BT,2017,0.360
BT,2018,0.400
BT,2019,0.250
BT,2021,0.350
BT,2022,0.280
BT,2023,0.280
BT,2024,0.290
CIL,2017,0.850
CIL,2018,0.900
CIL,2019,1.000
CIL,2021,1.795
CIL,2022,1.900
CIL,2023,2.200
CIL,2024,2.000
CITY,2017,0.920
CITY,2018,0.920
CITY,2019,0.950
CITY,2020,0.600
CITY,2021,0.830
CITY,2022,1.250
CITY,2023,1.250
CITY,2024,1.250
DELICE,2017,0.420
DELICE,2018,0.410
DELICE,2019,0.410
DELICE,2020,0.333
DELICE,2021,0.370
DELICE,2022,0.370
DELICE,2023,0.400
DELICE,2024,0.600
ECYCL,2017,1.400
ECYCL,2018,1.500
ECYCL,2019,1.200
ECYCL,2020,1.090
ECYCL,2021,1.515
ECYCL,2022,1.670
ECYCL,2023,1.000
ECYCL,2024,0.300
ENNAKL,2017,0.650
ENNAKL,2018,0.650
ENNAKL,2019,0.580
ENNAKL,2020,0.250
ENNAKL,2021,0.650
ENNAKL,2022,0.650
ENNAKL,2023,0.650
ENNAKL,2024,0.700
ESSOUKNA,2017,0.240
ESSOUKNA,2018,0.240
ESSOUKNA,2019,0.070
ESSOUKNA,2020,0.035
ESSOUKNA,2023,0.100
ESSOUKNA,2024,0.100
HL,2017,0.550
HL,2018,0.500
HL,2019,0.300
HL,2022,0.200
HL,2023,0.300
HL,2024,0.400
ICF,2017,1.000
ICF,2018,4.000
ICF,2019,9.000
ICF,2020,8.000
ICF,2021,1.500
ICF,2022,3.700
ICF,2023,7.500
ICF,2024,2.500
MPBS,2017,0.150
MPBS,2018,0.180
MPBS,2019,0.200
MPBS,2021,0.100
MPBS,2022,0.200
MPBS,2023,0.220
MPBS,2024,0.200
NBL,2017,0.370
NBL,2018,0.400
NBL,2019,0.600
NBL,2020,0.250
NBL,2021,0.360
NBL,2022,0.500
NBL,2023,0.300
NBL,2024,0.300
ONE,2017,0.260
ONE,2018,0.300
ONE,2019,0.330
ONE,2020,0.250
ONE,2021,0.250
ONE,2022,0.230
ONE,2023,0.175
ONE,2024,0.250
PGH,2017,0.280
PGH,2018,0.335
PGH,2019,0.335
PGH,2020,0.300
PGH,2021,0.260
PGH,2022,0.300
PGH,2023,0.235
PGH,2024,0.360
PLTU,2017,2.000
PLTU,2018,2.000
PLTU,2019,2.200
PLTU,2020,2.200
PLTU,2021,4.000
PLTU,2022,3.900
PLTU,2023,2.500
PLTU,2024,2.500
SAH,2020,0.150
SAH,2021,0.230
SAH,2022,0.205
SAH,2023,0.330
SAH,2024,0.350
SAM,2017,0.300
SAM,2018,0.260
SAM,2019,0.300
SAM,2020,0.150
SAM,2021,0.200
SAM,2022,0.215
SAM,2023,0.400
SAM,2024,0.500
SFBT,2017,0.650
SFBT,2018,0.650
SFBT,2019,0.650
SFBT,2020,0.650
SFBT,2021,0.715
SFBT,2022,0.715
SFBT,2023,0.740
SFBT,2024,0.740
SIAME,2017,0.070
SIAME,2018,0.100
SIAME,2019,0.150
SIAME,2020,0.120
SIAME,2021,0.120
SIAME,2022,0.180
SIAME,2023,0.070
SIAME,2024,0.120
SMART,2020,1.670
SMART,2021,1.333
SMART,2022,2.250
SMART,2023,1.700
SMART,2024,1.050
SOTRAPIL,2017,0.650
SOTRAPIL,2018,0.800
SOTRAPIL,2019,0.950
SOTRAPIL,2020,1.050
SOTRAPIL,2021,1.050
SOTRAPIL,2022,1.100
SOTRAPIL,2023,1.350
SOTRAPIL,2024,1.400
SPDIT,2017,0.550
SPDIT,2018,0.550
SPDIT,2019,0.600
SPDIT,2020,0.600
SPDIT,2021,0.600
SPDIT,2022,0.600
SPDIT,2023,0.700
SPDIT,2024,0.850
STAR,2017,2.700
STAR,2018,1.220
STAR,2019,3.075
STAR,2020,3.820
STAR,2021,2.840
STAR,2022,3.650
STAR,2023,6.220
STAR,2024,6.427
TELNET,2017,0.200
TELNET,2018,0.500
TELNET,2019,0.700
TELNET,2020,0.200
TELNET,2021,0.250
TELNET,2022,0.500
TELNET,2023,0.550
TELNET,2024,0.250
TLS,2017,1.000
TLS,2018,1.000
TLS,2019,0.650
TLS,2021,0.360
TLS,2022,0.500
TLS,2023,0.850
TLS,2024,1.100
TPR,2017,0.200
TPR,2018,0.230
TPR,2019,0.240
TPR,2021,0.300
TPR,2022,0.300
TPR,2023,0.350
TPR,2024,0.400
TUNINV,2017,0.500
TUNINV,2018,0.500
TUNINV,2019,0.500
TUNINV,2020,0.500
TUNINV,2021,1.500
TUNINV,2023,0.500
TUNINV,2024,0.500
TUNISRE,2017,0.500
TUNISRE,2018,0.500
TUNISRE,2019,0.550
TUNISRE,2021,0.245
TUNISRE,2022,0.350
TUNISRE,2023,0.400
TUNISRE,2024,0.450
UBCI,2017,0.700
UBCI,2018,1.000
UBCI,2019,1.200
UBCI,2021,1.000
UBCI,2022,0.750
UBCI,2023,1.250
UBCI,2024,1.250
UIB,2017,0.600
UIB,2018,0.650
UIB,2019,0.700
UIB,2021,0.700
UIB,2022,0.700
UIB,2023,0.800
UIB,2024,0.850
UNIMED,2017,0.225
UNIMED,2018,0.235
UNIMED,2019,0.345
